no,title,pubDate,genre,director,actor,image,color1,color2,color3,color4,color5,url
1,나의 소녀시대,2016,맬로/로맨스,프랭키 첸,송운화|왕대륙|이옥새|간정예|,https://movie-phinf.pstatic.net/20200810_138/1597023139385oXMsi_JPEG/movie_image.jpg?type=m665_443_2,#dde0f3,#a7caf4,#949375,#5d5f47,#efc9b4,https://www.youtube.com/embed/TgH9V75cNtI
2,노트북,2004,멜로/로맨스/드라마,닉 카사베츠,라이언 고슬링|레이첼 맥아담스|,https://movie-phinf.pstatic.net/20201102_233/1604294237347ur4pS_JPEG/movie_image.jpg?type=m665_443_2,#fdfad9,#f0eebb,#c6837d,#aa9a79,#8c6b5c,https://www.youtube.com/embed/AF4IzD6aVU4
3,잭 스나이더의 저스티스 리그,2021,액션/모험/판타지/SF,잭 스나이더,벤 애플렉|헨리 카빌|갤 가돗|제이슨 모모아|에즈라 밀러|레이 피셔|,https://movie-phinf.pstatic.net/20210319_251/1616118380277ezJm4_JPEG/movie_image.jpg?type=m665_443_2,#cbcbce,#96979c,#535459,#343539,#020202,ttps://www.youtube.com/embed/keGpIonTbpg
4,정직한 후보,2020,코미디,장유정,라미란|김무열|나문희|윤경호|,https://movie-phinf.pstatic.net/20200121_186/1579570188386BXMMG_JPEG/movie_image.jpg?type=m665_443_2,#ffe371,#ffd801,#814897,#602486,#10020f,https://www.youtube.com/embed/3B3DbQYE5u8
5,장난스런 키스,2019,멜로/로맨스,프랭키 첸,왕대륙|임윤|,https://movie-phinf.pstatic.net/20190305_257/1551749723722A0Gw5_JPEG/movie_image.jpg?type=m665_443_2,#ecf2f2,#a0c1ac,#7da187,#f4303e,#2454ba,https://www.youtube.com/embed/F1Y44svLimU
6,미드소마,2019,공포/미스터리,아리 에스터,플로렌스 퓨|잭 레이너|윌 폴터|윌리엄 잭슨 하퍼|,https://movie-phinf.pstatic.net/20200407_85/1586223913039uOUd0_JPEG/movie_image.jpg?type=m665_443_2,#f5af7b,#eaa82e,#519b9c,#3692a1,#26320c,https://www.youtube.com/embed/fgsVw-gemRg
7,내안의 그놈,2019,판타지/코미디,강효진,진영|박성웅|라미란|,https://movie-phinf.pstatic.net/20181204_172/1543891228332kV3d1_JPEG/movie_image.jpg?type=m665_443_2,#f6fafd,#fff591,#da99c3,#db74a9,#211c23,https://www.youtube.com/embed/Zy2Ht5gehsQ
8,테넷,2020,액션/SF,크리스토퍼 놀란,존 데이비드 워싱턴|로버트 패틴슨|엘리자베스 데비키|,https://movie-phinf.pstatic.net/20200728_86/15959209130236RePy_JPEG/movie_image.jpg?type=m665_443_2,#b6cbd6,#6d96ac,#2a6c8f,#562a39,#1d3b55,https://www.youtube.com/embed/7oKAPbnl7mQ
9,해리 포터와 비밀의 방,2002,판타지/가족/모험/액션,크리스 콜럼버스,다니엘 래드클리프|루퍼트 그린트|엠마 왓슨|,https://movie-phinf.pstatic.net/20111222_244/1324530400723IXN6V_JPEG/movie_image.jpg?type=m665_443_2,#c9bd81,#a7b9ab,#275c3e,#002611,#000000,https://www.youtube.com/embed/vOfm3_sA3M4
10,"나는 내일, 어제의 너와 만난다",2017,멜로/로맨스/판타지,미키 타카히로,후쿠시 소우타|고마츠 나나|,https://movie-phinf.pstatic.net/20170906_281/1504661660780autBq_JPEG/movie_image.jpg?type=m665_443_2,#fff3ff,#c3c2da,#b6c5af,#fdbb31,#819a56,https://www.youtube.com/embed/XEmXrbvaRZM
11,내 사랑,2017,드라마/멜로/로맨스,에이슬링 월쉬,샐리 호킨스|에단 호크|,https://movie-phinf.pstatic.net/20170623_154/1498200552664BBuB4_JPEG/movie_image.jpg?type=m665_443_2,#e3dae5,#c1a4c2,#c888a2,#675c3e,#2e2423,https://www.youtube.com/embed/b6Kv11a0hWM
12,해리 포터와 아즈카반의 죄수,2004,판타지/가족/모험/액션,알폰소 쿠아론,다니엘 래드클리프|엠마 왓슨|루퍼트 그린트|,https://movie-phinf.pstatic.net/20210428_206/1619587639370bFNkC_JPEG/movie_image.jpg?type=m665_443_2,#c6d6e6,#0a8e9d,#235765,#06456e,#0e4c59,https://www.youtube.com/embed/piY0Z-opP_E
13,캐롤,2016,드라마/멜로/로맨스,토드 헤인즈,케이트 블란쳇|루니 마라|카일 챈들러|,https://movie-phinf.pstatic.net/20210111_257/1610331901590W2mnF_JPEG/movie_image.jpg?type=m665_443_2,#dcd9d4,#bcad9a,#98846b,#a46846,#302313,https://www.youtube.com/embed/6b1tkL00hjU
14,해리 포터와 불의 잔,2005,판타지/가족/모험/액션,마이크 뉴웰,다니엘 래드클리프|엠마 왓슨|루퍼트 그린트|,https://movie-phinf.pstatic.net/20210129_146/1611912316783y8rDf_JPEG/movie_image.jpg?type=m665_443_2,#9acfee,#577b89,#447f83,#315166,#132028,https://www.youtube.com/embed/xKJ-Nrbefyo
15,핵소 고지,2017,드라마/전쟁/멜로/로맨스,멜 깁슨,앤드류 가필드|샘 워싱턴|휴고 위빙|테레사 팔머|빈스 본|루크 브레이시|,https://movie-phinf.pstatic.net/20170118_51/1484706629500KiUn8_JPEG/movie_image.jpg?type=m665_443_2,#cfd2c1,#b7b9ac,#737b6c,#50501e,#1f2519,https://www.youtube.com/embed/Pfgkpiu7JGM
16,데드풀,2016,액션,팀 밀러,라이언 레이놀즈,https://movie-phinf.pstatic.net/20160219_61/1455872433882gKqgb_JPEG/movie_image.jpg?type=m665_443_2,#f5f5f5,#8e2d38,#961e39,5d0004,#34323f,https://www.youtube.com/embed/AubJhjH0MfY
17,해리 포터와 불사조 기사단,2007,판타지/가족/모험/액션,데이빗 예이츠,다니엘 래드클리프|엠마 왓슨|루퍼트 그린트|,https://movie-phinf.pstatic.net/20111222_88/1324531626849yyPiO_JPEG/movie_image.jpg?type=m665_443_2,#80bcc2,#007884,#0f5459,#082626,#0a0000,https://www.youtube.com/embed/4uVZ0QA1Tmc
18,파이브 피트,2019,드라마/멜로/로맨스,저스틴 밸도니,헤일리 루 리차드슨|콜 스프로즈|,https://movie-phinf.pstatic.net/20190405_72/155444000594589QMA_JPEG/movie_image.jpg?type=m665_443_2,#d5d3f0,#c5b3dd,#6aa0cf,#5598cc,#888fb9,https://www.youtube.com/embed/vMd2lBZcTOM
19,해리 포터와 죽음의 성물 2부,2011,모험/판타지/미스터리,데이빗 예이츠,다니엘 래드클리프|엠마 왓슨|루퍼트 그린트|,https://movie-phinf.pstatic.net/20111223_74/1324640419980SJD8k_JPEG/movie_image.jpg?type=m665_443_2,#afc2bc,#5e8479,#325568,#002a2b,#084445,https://www.youtube.com/embed/_Y9EpOL7dmw
20,찬실이는 복도 많지,2020,드라마/멜로/로맨스/판타지,김초희,강말금,https://movie-phinf.pstatic.net/20201103_58/1604370513537sEbMD_JPEG/movie_image.jpg?type=m665_443_2,#bab9b2,#d2aeab,#9f9aa1,#8d8f94,#8a6d31,https://www.youtube.com/embed/yAAqeKAtriI
21,오케이 마담,2020,코미디/액션,이철하,엄정화|박성웅|이상윤|배정남|이선빈|,https://movie-phinf.pstatic.net/20200812_245/159719521887011fjF_JPEG/movie_image.jpg?type=m665_443_2,#fffeff,#b8d7f4,#4db8e6,#4b79b5,#073e90,https://www.youtube.com/embed/Cpzns_3BWII
22,해리 포터와 혼혈 왕자,2009,판타지/모험/미스터리/멜로/로맨스,데이빗 예이츠,다니엘 래드클리프|엠마 왓슨|루퍼트 그린트|,https://movie-phinf.pstatic.net/20111223_225/1324585869455atuMF_JPEG/movie_image.jpg?type=m665_443_2,#85abb3,#47a3b8,#39847f,#004f59,#203e48,https://www.youtube.com/embed/WN2MXeKuSh8
23,헝거게임 : 판엠의 불꽃,2012,액션/드라마/SF,게리 로스,제니퍼 로렌스|조쉬 허처슨|리암 헴스워스|엘리자베스 뱅크스|우디 해럴슨|스탠리 투치|,https://movie-phinf.pstatic.net/20120402_160/13333531264854NQHB_JPEG/movie_image.jpg,#9a2c00,#520805,#4a0f09,#bc7d13,#944413,https://www.youtube.com/embed/9pfVCKaheGQ
24,러브 액츄얼리,2003,멜로/로맨스/드라마/코미디,리차드 커티스,휴 그랜트|콜린 퍼스|리암 니슨|키이라 나이틀리|엠마 톰슨|앨런 릭먼|빌 나이|로라 리니|마틴 맥커친|,https://movie-phinf.pstatic.net/20191202_278/1575250003279Taafr_JPEG/movie_image.jpg,#c01d22,#7f181b,#ba5c5c,#7e1117,#9a1c1f,https://www.youtube.com/embed/7w-FtQ2Ak_o
25,500일의 썸머,2009,드라마/멜로/로맨스,마크 웹,조셉 고든 레빗|주이 디샤넬|,https://movie-phinf.pstatic.net/20210521_40/1621587883416Xe5Lu_JPEG/movie_image.jpg,#f8e8e9,#f8dde4,#f2d1da,#e9c1ca,#e0b5c8,https://www.youtube.com/embed/m5bHFoU4F0w
26,마담 프루스트의 비밀정원,2013,드라마,실뱅 쇼메,귀욤 고익스|앤 르 니|베르나데트 라퐁|헬렌 벤상|,https://movie-phinf.pstatic.net/20190712_55/15628945961130s231_JPEG/movie_image.jpg,#506429,#435024,#8b6b3c,#63bca0,#455622,https://www.youtube.com/embed/SXXn84-1hjE
